,name,description,category,img_urls
5282,Jersey marco,Jersey rayas cuello vuelto,jerseis y cardigans,https://st.mngbcn.com/rcs/pics/static/T3/fotos/S20/37027738_76_D4.jpg?ts=1662988448508
5283,Jersey marco,Jersey rayas cuello vuelto,jerseis y cardigans,https://st.mngbcn.com/rcs/pics/static/T3/fotos/S20/37027738_08_D4.jpg?ts=1664955170499
5284,Vestido rossy,Vestido estampado paisley volante,vestidos y monos,https://st.mngbcn.com/rcs/pics/static/T3/fotos/outfit/S20/37007770_85-99999999_01.jpg?ts=1663171001393
5285,Jersey flix,Jersey punto grueso perlas,jerseis y cardigans,https://st.mngbcn.com/rcs/pics/static/T3/fotos/outfit/S20/37009104_05-99999999_01.jpg?ts=1666260167325
5286,Mono xlenjo,Mono corto lentejuelas,vestidos y monos,https://st.mngbcn.com/rcs/pics/static/T3/fotos/outfit/S20/37069073_88-99999999_01.jpg?ts=1664272499035
5287,Camiseta chalapi,Camiseta básica algodón,camisetas y tops,https://st.mngbcn.com/rcs/pics/static/T3/fotos/S20/37000007_01.jpg?ts=1649408886044
5288,Camiseta chalapi,Camiseta básica algodón,camisetas y tops,https://st.mngbcn.com/rcs/pics/static/T3/fotos/S20/37000007_99.jpg?ts=1649407477786
5289,Camiseta chalapi,Camiseta básica algodón,camisetas y tops,https://st.mngbcn.com/rcs/pics/static/T3/fotos/S20/37000007_35.jpg?ts=1650455855459
5290,Camiseta chalapi,Camiseta básica algodón,camisetas y tops,https://st.mngbcn.com/rcs/pics/static/T3/fotos/S20/37000007_85.jpg?ts=1650455855459
5291,Leggings blasa,Leggings boton decorativo,pantalones,https://st.mngbcn.com/rcs/pics/static/T3/fotos/S20/37055824_99_D2.jpg?ts=1656924749201
5292,Abrigo gauguin,Abrigo lana oversize,abrigos,https://st.mngbcn.com/rcs/pics/static/T3/fotos/outfit/S20/37055550_99-99999999_01.jpg?ts=1655115216526
5293,Abrigo gauguin,Abrigo lana oversize,abrigos,https://st.mngbcn.com/rcs/pics/static/T3/fotos/outfit/S20/37055550_02-99999999_01.jpg?ts=1659006780939
5294,Abrigo gauguin,Abrigo lana oversize,abrigos,https://st.mngbcn.com/rcs/pics/static/T3/fotos/outfit/S20/37055550_35-99999999_01.jpg?ts=1656679863972
5295,Abrigo gauguin,Abrigo lana oversize,abrigos,https://st.mngbcn.com/rcs/pics/static/T3/fotos/outfit/S20/37055550_92-99999999_01.jpg?ts=1663930569452
5299,Bolso m maca,Bolso doble asa efecto cocodrilo,bolsos,https://st.mngbcn.com/rcs/pics/static/T3/fotos/S20/37065909_70.jpg?ts=1658995620491
5300,Mono ophelia2,Mono largo volantes,vestidos y monos,https://st.mngbcn.com/rcs/pics/static/T3/fotos/outfit/S20/37073854_70-99999999_01.jpg?ts=1660827498153
5303,Top gloria3,Top satinado tirantes,camisas,https://st.mngbcn.com/rcs/pics/static/T3/fotos/outfit/S20/37069079_99-99999999_01.jpg?ts=1664283504401
5304,Top gloria3,Top satinado tirantes,camisas,https://st.mngbcn.com/rcs/pics/static/T3/fotos/outfit/S20/37069079_05-99999999_01.jpg?ts=1665657166354
5305,Top gloria3,Top satinado tirantes,camisas,https://st.mngbcn.com/rcs/pics/static/T3/fotos/outfit/S20/37069079_20-99999999_01.jpg?ts=1665144207594
5306,Camisa carola,Camisa popelín larga,camisas,https://st.mngbcn.com/rcs/pics/static/T3/fotos/outfit/S20/37025141_02-99999999_01.jpg?ts=1660042120030
5307,Vestido triana,Vestido satinado abertura,vestidos y monos,https://st.mngbcn.com/rcs/pics/static/T3/fotos/outfit/S20/37034400_43-99999999_01.jpg?ts=1657014710589
5308,Camisa galita,Camisa botones nácar,camisas,https://st.mngbcn.com/rcs/pics/static/T3/fotos/S20/37087725_02.jpg?ts=1661356680109
5309,Camisa galita,Camisa botones nácar,camisas,https://st.mngbcn.com/rcs/pics/static/T3/fotos/S20/37087725_52.jpg?ts=1662020072631
5310,Deportiva burgos,Deportivas paneles piel,zapatos,https://st.mngbcn.com/rcs/pics/static/T3/fotos/S20/37065914_08.jpg?ts=1657792285881
5311,Deportiva burgos,Deportivas paneles piel,zapatos,https://st.mngbcn.com/rcs/pics/static/T3/fotos/S20/37065914_65.jpg?ts=1656411425041
5312,Camiseta lilobar,Camiseta cuello barco,camisetas y tops,https://st.mngbcn.com/rcs/pics/static/T3/fotos/S20/37034381_88.jpg?ts=1657633769300
5313,Camiseta lilobar,Camiseta cuello barco,camisetas y tops,https://st.mngbcn.com/rcs/pics/static/T3/fotos/S20/37034381_07.jpg?ts=1657633769300
5314,Camiseta lilobar,Camiseta cuello barco,camisetas y tops,https://st.mngbcn.com/rcs/pics/static/T3/fotos/S20/37034381_99.jpg?ts=1656411425041
5315,Camiseta lilobar,Camiseta cuello barco,camisetas y tops,https://st.mngbcn.com/rcs/pics/static/T3/fotos/S20/37034381_95.jpg?ts=1662378996868
5316,Pantalon maca,Pantalón recto traje,pantalones,https://st.mngbcn.com/rcs/pics/static/T3/fotos/outfit/S20/37085145_88-99999999_01.jpg?ts=1660633021950
5317,Capa alfombra,Capa punto flecos,jerseis y cardigans,https://st.mngbcn.com/rcs/pics/static/T3/fotos/outfit/S20/37049079_06-99999999_01.jpg?ts=1665415968246
5318,Camisa celi,Camisa estampado geométrico,camisas,https://st.mngbcn.com/rcs/pics/static/T3/fotos/S20/37075968_30_D2.jpg?ts=1661350586001
5319,Americana botoni,Americana crop botones,chaquetas y americanas,https://st.mngbcn.com/rcs/pics/static/T3/fotos/S20/37074399_99_D1.jpg?ts=1658916538447
